"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	51	4430141	1.2	1.2
	"Alabama"	"01"	"2000"	"2000"	34	4447100	0.8	0.8
	"Alabama"	"01"	"2001"	"2001"	41	4467634	0.9	0.9
	"Alabama"	"01"	"2002"	"2002"	45	4480089	1.0	1.0
	"Alabama"	"01"	"2003"	"2003"	38	4503491	0.8	0.8
	"Alabama"	"01"	"2004"	"2004"	31	4530729	0.7	0.7
	"Alabama"	"01"	"2005"	"2005"	37	4569805	0.8	0.8
	"Alabama"	"01"	"2006"	"2006"	37	4628981	0.8	0.8
	"Alabama"	"01"	"2007"	"2007"	24	4672840	0.5	0.5
	"Alabama"	"01"	"2008"	"2008"	32	4718206	0.7	0.7
	"Alabama"	"01"	"2009"	"2009"	28	4757938	0.6	0.6
	"Alabama"	"01"	"2010"	"2010"	35	4779736	0.7	0.8
	"Alabama"	"01"	"2011"	"2011"	25	4799918	0.5	0.5
	"Alabama"	"01"	"2012"	"2012"	14	4815960	0.3 (Unreliable)	0.3 (Unreliable)
	"Alabama"	"01"	"2013"	"2013"	25	4829479	0.5	0.5
	"Alabama"	"01"	"2014"	"2014"	29	4843214	0.6	0.6
	"Alabama"	"01"	"2015"	"2015"	20	4853875	0.4	0.4
	"Alabama"	"01"	"2016"	"2016"	21	4863300	0.4	0.4
	"Alaska"	"02"	"1999"	"1999"	Suppressed	624779	Suppressed	Suppressed
	"Alaska"	"02"	"2000"	"2000"	Suppressed	626932	Suppressed	Suppressed
	"Alaska"	"02"	"2001"	"2001"	Suppressed	633714	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	Suppressed	648414	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	Suppressed	666946	Suppressed	Suppressed
	"Alaska"	"02"	"2006"	"2006"	Suppressed	675302	Suppressed	Suppressed
	"Alaska"	"02"	"2007"	"2007"	Suppressed	680300	Suppressed	Suppressed
	"Alaska"	"02"	"2008"	"2008"	Suppressed	687455	Suppressed	Suppressed
	"Alaska"	"02"	"2009"	"2009"	Suppressed	698895	Suppressed	Suppressed
	"Alaska"	"02"	"2010"	"2010"	Suppressed	710231	Suppressed	Suppressed
	"Alaska"	"02"	"2011"	"2011"	Suppressed	722713	Suppressed	Suppressed
	"Alaska"	"02"	"2012"	"2012"	Suppressed	731089	Suppressed	Suppressed
	"Alaska"	"02"	"2013"	"2013"	Suppressed	736879	Suppressed	Suppressed
	"Alaska"	"02"	"2014"	"2014"	Suppressed	736705	Suppressed	Suppressed
	"Alaska"	"02"	"2015"	"2015"	Suppressed	737709	Suppressed	Suppressed
	"Alaska"	"02"	"2016"	"2016"	Suppressed	741894	Suppressed	Suppressed
	"Arizona"	"04"	"1999"	"1999"	17	5023823	0.3 (Unreliable)	0.3 (Unreliable)
	"Arizona"	"04"	"2000"	"2000"	14	5130632	0.3 (Unreliable)	0.3 (Unreliable)
	"Arizona"	"04"	"2001"	"2001"	16	5273477	0.3 (Unreliable)	0.3 (Unreliable)
	"Arizona"	"04"	"2002"	"2002"	25	5396255	0.5	0.5
	"Arizona"	"04"	"2003"	"2003"	12	5510364	0.2 (Unreliable)	0.2 (Unreliable)
	"Arizona"	"04"	"2004"	"2004"	14	5652404	0.2 (Unreliable)	0.3 (Unreliable)
	"Arizona"	"04"	"2005"	"2005"	15	5839077	0.3 (Unreliable)	0.3 (Unreliable)
