"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1979"	"1979"	526	3873403	13.6	14.1
	"Alabama"	"01"	"1980"	"1980"	617	3898117	15.8	16.6
	"Alabama"	"01"	"1981"	"1981"	551	3920097	14.1	14.6
	"Alabama"	"01"	"1982"	"1982"	508	3925924	12.9	13.1
	"Alabama"	"01"	"1983"	"1983"	419	3933838	10.7	10.6
	"Alabama"	"01"	"1984"	"1984"	424	3952400	10.7	11.0
	"Alabama"	"01"	"1985"	"1985"	452	3974101	11.4	11.4
	"Alabama"	"01"	"1986"	"1986"	459	3993162	11.5	11.4
	"Alabama"	"01"	"1987"	"1987"	455	4017181	11.3	11.2
	"Alabama"	"01"	"1988"	"1988"	470	4027045	11.7	11.5
	"Alabama"	"01"	"1989"	"1989"	504	4034980	12.5	12.4
	"Alabama"	"01"	"1990"	"1990"	549	4043643	13.6	13.1
	"Alabama"	"01"	"1991"	"1991"	587	4101607	14.3	13.8
	"Alabama"	"01"	"1992"	"1992"	542	4155699	13.0	12.7
	"Alabama"	"01"	"1993"	"1993"	580	4216208	13.8	13.4
	"Alabama"	"01"	"1994"	"1994"	598	4262457	14.0	13.7
	"Alabama"	"01"	"1995"	"1995"	527	4298981	12.3	12.0
	"Alabama"	"01"	"1996"	"1996"	526	4334219	12.1	12.0
	"Alabama"	"01"	"1997"	"1997"	514	4370490	11.8	11.7
	"Alabama"	"01"	"1998"	"1998"	453	4408398	10.3	10.2
	"Alaska"	"02"	"1979"	"1979"	50	404735	12.4	11.9
	"Alaska"	"02"	"1980"	"1980"	33	403594	8.2	7.0
	"Alaska"	"02"	"1981"	"1981"	53	420161	12.6	11.8
	"Alaska"	"02"	"1982"	"1982"	55	451672	12.2	12.0
	"Alaska"	"02"	"1983"	"1983"	56	490111	11.4	11.1
	"Alaska"	"02"	"1984"	"1984"	49	515014	9.5	9.2
	"Alaska"	"02"	"1985"	"1985"	43	533411	8.1	10.4
	"Alaska"	"02"	"1986"	"1986"	43	544113	7.9	6.9
	"Alaska"	"02"	"1987"	"1987"	46	538774	8.5	8.3
	"Alaska"	"02"	"1988"	"1988"	27	541504	5.0	5.0
	"Alaska"	"02"	"1989"	"1989"	32	547442	5.8	5.1
	"Alaska"	"02"	"1990"	"1990"	31	549982	5.6	7.2
	"Alaska"	"02"	"1991"	"1991"	43	570440	7.5	7.0
	"Alaska"	"02"	"1992"	"1992"	41	589389	7.0	6.3
	"Alaska"	"02"	"1993"	"1993"	41	599884	6.8	6.1
	"Alaska"	"02"	"1994"	"1994"	33	603918	5.5	5.2
	"Alaska"	"02"	"1995"	"1995"	54	605068	8.9	8.8
	"Alaska"	"02"	"1996"	"1996"	42	609231	6.9	6.6
	"Alaska"	"02"	"1997"	"1997"	55	613530	9.0	8.7
	"Alaska"	"02"	"1998"	"1998"	47	620503	7.6	7.6
	"Arizona"	"04"	"1979"	"1979"	233	2643879	8.8	8.9
	"Arizona"	"04"	"1980"	"1980"	283	2725485	10.4	10.4
	"Arizona"	"04"	"1981"	"1981"	267	2816864	9.5	10.0
	"Arizona"	"04"	"1982"	"1982"	253	2896090	8.7	8.7
	"Arizona"	"04"	"1983"	"1983"	248	2974479	8.3	8.0
	"Arizona"	"04"	"1984"	"1984"	261	3072024	8.5	8.4
	"Arizona"	"04"	"1985"	"1985"	251	3190632	7.9	7.6
	"Arizona"	"04"	"1986"	"1986"	326	3315309	9.8	9.4
	"Arizona"	"04"	"1987"	"1987"	282	3444621	8.2	7.9
	"Arizona"	"04"	"1988"	"1988"	317	3543501	8.9	8.7
	"Arizona"	"04"	"1989"	"1989"	310	3629959	8.5	8.4
	"Arizona"	"04"	"1990"	"1990"	300	3670009	8.2	8.0
	"Arizona"	"04"	"1991"	"1991"	340	3789418	9.0	8.8
	"Arizona"	"04"	"1992"	"1992"	348	3917373	8.9	8.7
	"Arizona"	"04"	"1993"	"1993"	363	4066852	8.9	8.7
	"Arizona"	"04"	"1994"	"1994"	446	4247728	10.5	10.2
	"Arizona"	"04"	"1995"	"1995"	518	4433841	11.7	11.4
	"Arizona"	"04"	"1996"	"1996"	430	4589841	9.4	9.3
	"Arizona"	"04"	"1997"	"1997"	409	4739994	8.6	8.5
	"Arizona"	"04"	"1998"	"1998"	421	4886250	8.6	8.4
	"Arkansas"	"05"	"1979"	"1979"	228	2270804	10.0	10.6
	"Arkansas"	"05"	"1980"	"1980"	252	2288599	11.0	11.4
	"Arkansas"	"05"	"1981"	"1981"	244	2293696	10.6	10.9
	"Arkansas"	"05"	"1982"	"1982"	227	2294665	9.9	10.2
	"Arkansas"	"05"	"1983"	"1983"	216	2305943	9.4	9.7
	"Arkansas"	"05"	"1984"	"1984"	200	2320088	8.6	8.9
	"Arkansas"	"05"	"1985"	"1985"	212	2328082	9.1	9.3
	"Arkansas"	"05"	"1986"	"1986"	230	2332608	9.9	9.9
	"Arkansas"	"05"	"1987"	"1987"	216	2343274	9.2	9.3
	"Arkansas"	"05"	"1988"	"1988"	254	2344127	10.8	10.9
	"Arkansas"	"05"	"1989"	"1989"	242	2348699	10.3	10.3
	"Arkansas"	"05"	"1990"	"1990"	253	2352527	10.8	10.8
	"Arkansas"	"05"	"1991"	"1991"	295	2384138	12.4	12.4
	"Arkansas"	"05"	"1992"	"1992"	295	2416429	12.2	12.2
	"Arkansas"	"05"	"1993"	"1993"	291	2457014	11.8	11.9
	"Arkansas"	"05"	"1994"	"1994"	310	2494910	12.4	12.5
	"Arkansas"	"05"	"1995"	"1995"	282	2535835	11.1	11.1
	"Arkansas"	"05"	"1996"	"1996"	238	2573244	9.2	9.3
	"Arkansas"	"05"	"1997"	"1997"	289	2602253	11.1	11.2
	"Arkansas"	"05"	"1998"	"1998"	228	2627564	8.7	8.8
	"California"	"06"	"1979"	"1979"	2961	23304422	12.7	11.9
	"California"	"06"	"1980"	"1980"	3433	23729183	14.5	13.5
	"California"	"06"	"1981"	"1981"	3182	24344273	13.1	12.1
	"California"	"06"	"1982"	"1982"	2854	24870183	11.5	10.8
	"California"	"06"	"1983"	"1983"	2667	25398443	10.5	9.9
	"California"	"06"	"1984"	"1984"	2772	25881851	10.7	10.0
	"California"	"06"	"1985"	"1985"	2779	26488512	10.5	9.7
	"California"	"06"	"1986"	"1986"	3084	27149692	11.4	10.4
	"California"	"06"	"1987"	"1987"	2919	27834578	10.5	9.6
	"California"	"06"	"1988"	"1988"	2974	28538528	10.4	9.5
	"California"	"06"	"1989"	"1989"	3179	29309226	10.8	9.9
	"California"	"06"	"1990"	"1990"	3692	29829422	12.4	11.3
	"California"	"06"	"1991"	"1991"	4062	30482745	13.3	12.4
	"California"	"06"	"1992"	"1992"	4125	30992952	13.3	12.6
	"California"	"06"	"1993"	"1993"	4232	31296016	13.5	12.9
	"California"	"06"	"1994"	"1994"	3855	31505058	12.2	11.7
	"California"	"06"	"1995"	"1995"	3573	31719735	11.3	10.9
	"California"	"06"	"1996"	"1996"	3000	32046821	9.4	9.1
	"California"	"06"	"1997"	"1997"	2780	32514514	8.6	8.3
	"California"	"06"	"1998"	"1998"	2344	33021362	7.1	6.9
	"Colorado"	"08"	"1979"	"1979"	153	2854156	5.4	4.9
	"Colorado"	"08"	"1980"	"1980"	188	2896401	6.5	6.5
	"Colorado"	"08"	"1981"	"1981"	242	2983957	8.1	7.5
	"Colorado"	"08"	"1982"	"1982"	199	3068025	6.5	6.2
	"Colorado"	"08"	"1983"	"1983"	190	3137512	6.1	5.9
	"Colorado"	"08"	"1984"	"1984"	182	3172473	5.7	5.5
	"Colorado"	"08"	"1985"	"1985"	189	3211081	5.9	5.5
	"Colorado"	"08"	"1986"	"1986"	232	3239353	7.2	6.8
	"Colorado"	"08"	"1987"	"1987"	196	3261010	6.0	5.7
	"Colorado"	"08"	"1988"	"1988"	182	3263281	5.6	5.2
	"Colorado"	"08"	"1989"	"1989"	154	3276660	4.7	4.5
	"Colorado"	"08"	"1990"	"1990"	147	3295529	4.5	4.2
	"Colorado"	"08"	"1991"	"1991"	200	3387824	5.9	5.7
	"Colorado"	"08"	"1992"	"1992"	208	3496821	5.9	5.7
	"Colorado"	"08"	"1993"	"1993"	207	3614735	5.7	5.6
	"Colorado"	"08"	"1994"	"1994"	204	3725509	5.5	5.2
	"Colorado"	"08"	"1995"	"1995"	202	3827609	5.3	5.1
	"Colorado"	"08"	"1996"	"1996"	206	3921395	5.3	5.1
	"Colorado"	"08"	"1997"	"1997"	172	4018882	4.3	4.3
	"Colorado"	"08"	"1998"	"1998"	185	4118190	4.5	4.3
	"Connecticut"	"09"	"1979"	"1979"	133	3101686	4.3	4.2
	"Connecticut"	"09"	"1980"	"1980"	168	3109321	5.4	5.5
	"Connecticut"	"09"	"1981"	"1981"	146	3131032	4.7	4.5
	"Connecticut"	"09"	"1982"	"1982"	166	3141181	5.3	5.1
	"Connecticut"	"09"	"1983"	"1983"	138	3164200	4.4	4.0
	"Connecticut"	"09"	"1984"	"1984"	142	3182426	4.5	4.2
	"Connecticut"	"09"	"1985"	"1985"	122	3204314	3.8	3.5
	"Connecticut"	"09"	"1986"	"1986"	145	3226567	4.5	4.3
	"Connecticut"	"09"	"1987"	"1987"	159	3251130	4.9	4.4
	"Connecticut"	"09"	"1988"	"1988"	178	3275681	5.4	4.9
	"Connecticut"	"09"	"1989"	"1989"	194	3287127	5.9	5.6
	"Connecticut"	"09"	"1990"	"1990"	171	3287825	5.2	4.8
	"Connecticut"	"09"	"1991"	"1991"	185	3303749	5.6	5.4
	"Connecticut"	"09"	"1992"	"1992"	176	3301385	5.3	5.1
	"Connecticut"	"09"	"1993"	"1993"	206	3309945	6.2	6.2
	"Connecticut"	"09"	"1994"	"1994"	208	3316918	6.3	6.3
	"Connecticut"	"09"	"1995"	"1995"	149	3324324	4.5	4.6
	"Connecticut"	"09"	"1996"	"1996"	170	3337947	5.1	5.2
	"Connecticut"	"09"	"1997"	"1997"	128	3349822	3.8	4.0
	"Connecticut"	"09"	"1998"	"1998"	142	3366615	4.2	4.4
	"Delaware"	"10"	"1979"	"1979"	37	599476	6.2	6.4
	"Delaware"	"10"	"1980"	"1980"	46	595519	7.7	7.2
	"Delaware"	"10"	"1981"	"1981"	43	596658	7.2	6.8
	"Delaware"	"10"	"1982"	"1982"	32	599565	5.3	4.8
	"Delaware"	"10"	"1983"	"1983"	25	605660	4.1	4.0
	"Delaware"	"10"	"1984"	"1984"	27	611723	4.4	4.3
	"Delaware"	"10"	"1985"	"1985"	33	618730	5.3	5.6
	"Delaware"	"10"	"1986"	"1986"	36	628001	5.7	5.3
	"Delaware"	"10"	"1987"	"1987"	30	637508	4.7	4.5
	"Delaware"	"10"	"1988"	"1988"	31	648489	4.8	4.3
	"Delaware"	"10"	"1989"	"1989"	45	659194	6.8	6.9
	"Delaware"	"10"	"1990"	"1990"	39	666780	5.8	5.7
	"Delaware"	"10"	"1991"	"1991"	51	683489	7.5	7.0
	"Delaware"	"10"	"1992"	"1992"	36	695038	5.2	5.0
	"Delaware"	"10"	"1993"	"1993"	35	706719	5.0	4.4
	"Delaware"	"10"	"1994"	"1994"	29	717867	4.0	4.0
	"Delaware"	"10"	"1995"	"1995"	41	730099	5.6	5.7
	"Delaware"	"10"	"1996"	"1996"	54	741330	7.3	7.1
	"Delaware"	"10"	"1997"	"1997"	32	751824	4.3	4.1
	"Delaware"	"10"	"1998"	"1998"	28	763841	3.7	3.7
	"Florida"	"12"	"1979"	"1979"	1164	9480731	12.3	12.9
	"Florida"	"12"	"1980"	"1980"	1498	9764074	15.3	16.1
	"Florida"	"12"	"1981"	"1981"	1560	10208144	15.3	16.0
	"Florida"	"12"	"1982"	"1982"	1452	10487366	13.8	14.3
	"Florida"	"12"	"1983"	"1983"	1273	10764476	11.8	11.9
	"Florida"	"12"	"1984"	"1984"	1372	11055366	12.4	12.5
	"Florida"	"12"	"1985"	"1985"	1342	11368628	11.8	11.9
	"Florida"	"12"	"1986"	"1986"	1430	11682730	12.2	12.1
	"Florida"	"12"	"1987"	"1987"	1480	12014726	12.3	12.2
	"Florida"	"12"	"1988"	"1988"	1709	12326923	13.9	13.7
	"Florida"	"12"	"1989"	"1989"	1593	12660706	12.6	12.6
	"Florida"	"12"	"1990"	"1990"	1583	12952277	12.2	12.2
	"Florida"	"12"	"1991"	"1991"	1460	13371703	10.9	11.0
	"Florida"	"12"	"1992"	"1992"	1369	13654211	10.0	10.2
	"Florida"	"12"	"1993"	"1993"	1374	13932066	9.9	10.1
