"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1979"	"1979"	376	3873403	9.7	10.1
	"Alabama"	"01"	"1980"	"1980"	457	3898117	11.7	12.2
	"Alabama"	"01"	"1981"	"1981"	384	3920097	9.8	10.1
	"Alabama"	"01"	"1982"	"1982"	360	3925924	9.2	9.4
	"Alabama"	"01"	"1983"	"1983"	268	3933838	6.8	6.8
	"Alabama"	"01"	"1984"	"1984"	290	3952400	7.3	7.5
	"Alabama"	"01"	"1985"	"1985"	299	3974101	7.5	7.6
	"Alabama"	"01"	"1986"	"1986"	320	3993162	8.0	8.0
	"Alabama"	"01"	"1987"	"1987"	306	4017181	7.6	7.5
	"Alabama"	"01"	"1988"	"1988"	340	4027045	8.4	8.3
	"Alabama"	"01"	"1989"	"1989"	342	4034980	8.5	8.3
	"Alabama"	"01"	"1990"	"1990"	381	4043643	9.4	9.2
	"Alabama"	"01"	"1991"	"1991"	423	4101607	10.3	10.0
	"Alabama"	"01"	"1992"	"1992"	387	4155699	9.3	9.1
	"Alabama"	"01"	"1993"	"1993"	412	4216208	9.8	9.5
	"Alabama"	"01"	"1994"	"1994"	432	4262457	10.1	9.9
	"Alabama"	"01"	"1995"	"1995"	400	4298981	9.3	9.1
	"Alabama"	"01"	"1996"	"1996"	382	4334219	8.8	8.7
	"Alabama"	"01"	"1997"	"1997"	371	4370490	8.5	8.4
	"Alabama"	"01"	"1998"	"1998"	326	4408398	7.4	7.3
	"Alaska"	"02"	"1979"	"1979"	36	404735	8.9	9.1
	"Alaska"	"02"	"1980"	"1980"	19	403594	4.7 (Unreliable)	4.0 (Unreliable)
	"Alaska"	"02"	"1981"	"1981"	40	420161	9.5	9.2
	"Alaska"	"02"	"1982"	"1982"	37	451672	8.2	7.7
	"Alaska"	"02"	"1983"	"1983"	34	490111	6.9	6.8
	"Alaska"	"02"	"1984"	"1984"	35	515014	6.8	6.0
	"Alaska"	"02"	"1985"	"1985"	30	533411	5.6	7.1
	"Alaska"	"02"	"1986"	"1986"	31	544113	5.7	5.0
	"Alaska"	"02"	"1987"	"1987"	28	538774	5.2	4.4
	"Alaska"	"02"	"1988"	"1988"	17	541504	3.1 (Unreliable)	2.9 (Unreliable)
	"Alaska"	"02"	"1989"	"1989"	23	547442	4.2	3.7
	"Alaska"	"02"	"1990"	"1990"	12	549982	2.2 (Unreliable)	2.9 (Unreliable)
	"Alaska"	"02"	"1991"	"1991"	17	570440	3.0 (Unreliable)	2.8 (Unreliable)
	"Alaska"	"02"	"1992"	"1992"	21	589389	3.6	3.5
	"Alaska"	"02"	"1993"	"1993"	19	599884	3.2 (Unreliable)	2.8 (Unreliable)
	"Alaska"	"02"	"1994"	"1994"	21	603918	3.5	3.3
	"Alaska"	"02"	"1995"	"1995"	32	605068	5.3	5.3
	"Alaska"	"02"	"1996"	"1996"	29	609231	4.8	4.5
	"Alaska"	"02"	"1997"	"1997"	31	613530	5.1	4.5
	"Alaska"	"02"	"1998"	"1998"	28	620503	4.5	4.3
	"Arizona"	"04"	"1979"	"1979"	138	2643879	5.2	5.2
	"Arizona"	"04"	"1980"	"1980"	161	2725485	5.9	5.8
	"Arizona"	"04"	"1981"	"1981"	159	2816864	5.6	6.0
	"Arizona"	"04"	"1982"	"1982"	140	2896090	4.8	4.7
	"Arizona"	"04"	"1983"	"1983"	128	2974479	4.3	4.3
	"Arizona"	"04"	"1984"	"1984"	129	3072024	4.2	4.2
	"Arizona"	"04"	"1985"	"1985"	137	3190632	4.3	4.3
	"Arizona"	"04"	"1986"	"1986"	166	3315309	5.0	4.7
	"Arizona"	"04"	"1987"	"1987"	156	3444621	4.5	4.4
	"Arizona"	"04"	"1988"	"1988"	197	3543501	5.6	5.3
	"Arizona"	"04"	"1989"	"1989"	164	3629959	4.5	4.4
	"Arizona"	"04"	"1990"	"1990"	184	3670009	5.0	4.9
	"Arizona"	"04"	"1991"	"1991"	215	3789418	5.7	5.5
	"Arizona"	"04"	"1992"	"1992"	236	3917373	6.0	6.0
	"Arizona"	"04"	"1993"	"1993"	239	4066852	5.9	5.7
	"Arizona"	"04"	"1994"	"1994"	324	4247728	7.6	7.4
	"Arizona"	"04"	"1995"	"1995"	382	4433841	8.6	8.4
	"Arizona"	"04"	"1996"	"1996"	298	4589841	6.5	6.5
	"Arizona"	"04"	"1997"	"1997"	285	4739994	6.0	5.9
	"Arizona"	"04"	"1998"	"1998"	292	4886250	6.0	5.8
	"Arkansas"	"05"	"1979"	"1979"	174	2270804	7.7	8.2
	"Arkansas"	"05"	"1980"	"1980"	190	2288599	8.3	8.6
	"Arkansas"	"05"	"1981"	"1981"	179	2293696	7.8	8.1
	"Arkansas"	"05"	"1982"	"1982"	165	2294665	7.2	7.5
	"Arkansas"	"05"	"1983"	"1983"	160	2305943	6.9	7.2
	"Arkansas"	"05"	"1984"	"1984"	132	2320088	5.7	6.0
	"Arkansas"	"05"	"1985"	"1985"	136	2328082	5.8	6.0
	"Arkansas"	"05"	"1986"	"1986"	154	2332608	6.6	6.7
	"Arkansas"	"05"	"1987"	"1987"	132	2343274	5.6	5.8
	"Arkansas"	"05"	"1988"	"1988"	167	2344127	7.1	7.3
	"Arkansas"	"05"	"1989"	"1989"	170	2348699	7.2	7.4
	"Arkansas"	"05"	"1990"	"1990"	182	2352527	7.7	7.9
	"Arkansas"	"05"	"1991"	"1991"	202	2384138	8.5	8.5
	"Arkansas"	"05"	"1992"	"1992"	218	2416429	9.0	9.0
	"Arkansas"	"05"	"1993"	"1993"	202	2457014	8.2	8.2
	"Arkansas"	"05"	"1994"	"1994"	205	2494910	8.2	8.2
	"Arkansas"	"05"	"1995"	"1995"	212	2535835	8.4	8.4
	"Arkansas"	"05"	"1996"	"1996"	164	2573244	6.4	6.4
	"Arkansas"	"05"	"1997"	"1997"	196	2602253	7.5	7.6
	"Arkansas"	"05"	"1998"	"1998"	155	2627564	5.9	6.0
	"California"	"06"	"1979"	"1979"	1803	23304422	7.7	7.1
	"California"	"06"	"1980"	"1980"	2114	23729183	8.9	8.1
	"California"	"06"	"1981"	"1981"	1919	24344273	7.9	7.1
	"California"	"06"	"1982"	"1982"	1669	24870183	6.7	6.2
	"California"	"06"	"1983"	"1983"	1502	25398443	5.9	5.4
	"California"	"06"	"1984"	"1984"	1618	25881851	6.3	5.7
	"California"	"06"	"1985"	"1985"	1562	26488512	5.9	5.3
	"California"	"06"	"1986"	"1986"	1782	27149692	6.6	5.8
	"California"	"06"	"1987"	"1987"	1768	27834578	6.4	5.7
	"California"	"06"	"1988"	"1988"	1870	28538528	6.6	5.9
	"California"	"06"	"1989"	"1989"	2141	29309226	7.3	6.5
	"California"	"06"	"1990"	"1990"	2539	29829422	8.5	7.6
	"California"	"06"	"1991"	"1991"	2898	30482745	9.5	8.7
	"California"	"06"	"1992"	"1992"	3049	30992952	9.8	9.2
	"California"	"06"	"1993"	"1993"	3183	31296016	10.2	9.6
	"California"	"06"	"1994"	"1994"	2938	31505058	9.3	8.9
	"California"	"06"	"1995"	"1995"	2677	31719735	8.4	8.1
	"California"	"06"	"1996"	"1996"	2152	32046821	6.7	6.5
	"California"	"06"	"1997"	"1997"	1975	32514514	6.1	5.9
	"California"	"06"	"1998"	"1998"	1573	33021362	4.8	4.6
	"Colorado"	"08"	"1979"	"1979"	83	2854156	2.9	2.7
	"Colorado"	"08"	"1980"	"1980"	101	2896401	3.5	3.4
	"Colorado"	"08"	"1981"	"1981"	132	2983957	4.4	4.0
	"Colorado"	"08"	"1982"	"1982"	106	3068025	3.5	3.2
	"Colorado"	"08"	"1983"	"1983"	111	3137512	3.5	3.3
	"Colorado"	"08"	"1984"	"1984"	97	3172473	3.1	2.8
	"Colorado"	"08"	"1985"	"1985"	106	3211081	3.3	3.1
	"Colorado"	"08"	"1986"	"1986"	142	3239353	4.4	4.2
	"Colorado"	"08"	"1987"	"1987"	101	3261010	3.1	2.9
	"Colorado"	"08"	"1988"	"1988"	89	3263281	2.7	2.5
	"Colorado"	"08"	"1989"	"1989"	78	3276660	2.4	2.3
	"Colorado"	"08"	"1990"	"1990"	78	3295529	2.4	2.2
	"Colorado"	"08"	"1991"	"1991"	101	3387824	3.0	2.9
	"Colorado"	"08"	"1992"	"1992"	123	3496821	3.5	3.4
	"Colorado"	"08"	"1993"	"1993"	141	3614735	3.9	3.8
	"Colorado"	"08"	"1994"	"1994"	133	3725509	3.6	3.3
	"Colorado"	"08"	"1995"	"1995"	119	3827609	3.1	3.0
	"Colorado"	"08"	"1996"	"1996"	110	3921395	2.8	2.7
	"Colorado"	"08"	"1997"	"1997"	92	4018882	2.3	2.2
	"Colorado"	"08"	"1998"	"1998"	112	4118190	2.7	2.6
	"Connecticut"	"09"	"1979"	"1979"	79	3101686	2.5	2.4
	"Connecticut"	"09"	"1980"	"1980"	100	3109321	3.2	3.2
	"Connecticut"	"09"	"1981"	"1981"	89	3131032	2.8	2.8
	"Connecticut"	"09"	"1982"	"1982"	86	3141181	2.7	2.6
	"Connecticut"	"09"	"1983"	"1983"	74	3164200	2.3	2.1
	"Connecticut"	"09"	"1984"	"1984"	76	3182426	2.4	2.2
	"Connecticut"	"09"	"1985"	"1985"	66	3204314	2.1	1.9
	"Connecticut"	"09"	"1986"	"1986"	78	3226567	2.4	2.3
	"Connecticut"	"09"	"1987"	"1987"	93	3251130	2.9	2.5
