"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1979"	"1979"	418	3873403	10.8	11.6
	"Alabama"	"01"	"1980"	"1980"	435	3898117	11.2	11.9
	"Alabama"	"01"	"1981"	"1981"	393	3920097	10.0	10.8
	"Alabama"	"01"	"1982"	"1982"	428	3925924	10.9	11.4
	"Alabama"	"01"	"1983"	"1983"	425	3933838	10.8	11.3
	"Alabama"	"01"	"1984"	"1984"	466	3952400	11.8	12.3
	"Alabama"	"01"	"1985"	"1985"	430	3974101	10.8	11.0
	"Alabama"	"01"	"1986"	"1986"	504	3993162	12.6	13.1
	"Alabama"	"01"	"1987"	"1987"	449	4017181	11.2	11.5
	"Alabama"	"01"	"1988"	"1988"	498	4027045	12.4	12.5
	"Alabama"	"01"	"1989"	"1989"	506	4034980	12.5	12.6
	"Alabama"	"01"	"1990"	"1990"	514	4043643	12.7	12.8
	"Alabama"	"01"	"1991"	"1991"	539	4101607	13.1	13.2
	"Alabama"	"01"	"1992"	"1992"	523	4155699	12.6	12.6
	"Alabama"	"01"	"1993"	"1993"	551	4216208	13.1	13.0
	"Alabama"	"01"	"1994"	"1994"	532	4262457	12.5	12.6
	"Alabama"	"01"	"1995"	"1995"	563	4298981	13.1	13.0
	"Alabama"	"01"	"1996"	"1996"	513	4334219	11.8	11.9
	"Alabama"	"01"	"1997"	"1997"	512	4370490	11.7	11.7
	"Alabama"	"01"	"1998"	"1998"	569	4408398	12.9	12.9
	"Alaska"	"02"	"1979"	"1979"	47	404735	11.6	13.7
	"Alaska"	"02"	"1980"	"1980"	68	403594	16.8	17.4
	"Alaska"	"02"	"1981"	"1981"	61	420161	14.5	16.0
	"Alaska"	"02"	"1982"	"1982"	54	451672	12.0	11.4
	"Alaska"	"02"	"1983"	"1983"	56	490111	11.4	11.5
	"Alaska"	"02"	"1984"	"1984"	60	515014	11.7	10.6
	"Alaska"	"02"	"1985"	"1985"	73	533411	13.7	14.3
	"Alaska"	"02"	"1986"	"1986"	79	544113	14.5	14.2
	"Alaska"	"02"	"1987"	"1987"	94	538774	17.4	19.1
	"Alaska"	"02"	"1988"	"1988"	55	541504	10.2	8.8
	"Alaska"	"02"	"1989"	"1989"	89	547442	16.3	17.5
	"Alaska"	"02"	"1990"	"1990"	70	549982	12.7	14.6
	"Alaska"	"02"	"1991"	"1991"	73	570440	12.8	12.6
	"Alaska"	"02"	"1992"	"1992"	90	589389	15.3	16.7
	"Alaska"	"02"	"1993"	"1993"	97	599884	16.2	16.3
	"Alaska"	"02"	"1994"	"1994"	121	603918	20.0	20.7
	"Alaska"	"02"	"1995"	"1995"	103	605068	17.0	16.8
	"Alaska"	"02"	"1996"	"1996"	120	609231	19.7	20.2
	"Alaska"	"02"	"1997"	"1997"	128	613530	20.9	21.6
	"Alaska"	"02"	"1998"	"1998"	129	620503	20.8	21.8
	"Arizona"	"04"	"1979"	"1979"	457	2643879	17.3	18.0
	"Arizona"	"04"	"1980"	"1980"	460	2725485	16.9	17.4
	"Arizona"	"04"	"1981"	"1981"	459	2816864	16.3	17.1
	"Arizona"	"04"	"1982"	"1982"	509	2896090	17.6	18.1
	"Arizona"	"04"	"1983"	"1983"	500	2974479	16.8	17.5
	"Arizona"	"04"	"1984"	"1984"	515	3072024	16.8	17.2
	"Arizona"	"04"	"1985"	"1985"	560	3190632	17.6	18.0
	"Arizona"	"04"	"1986"	"1986"	632	3315309	19.1	19.4
	"Arizona"	"04"	"1987"	"1987"	685	3444621	19.9	20.4
	"Arizona"	"04"	"1988"	"1988"	679	3543501	19.2	19.4
	"Arizona"	"04"	"1989"	"1989"	671	3629959	18.5	18.9
	"Arizona"	"04"	"1990"	"1990"	686	3670009	18.7	19.1
	"Arizona"	"04"	"1991"	"1991"	662	3789418	17.5	18.1
	"Arizona"	"04"	"1992"	"1992"	653	3917373	16.7	17.0
	"Arizona"	"04"	"1993"	"1993"	727	4066852	17.9	18.3
	"Arizona"	"04"	"1994"	"1994"	767	4247728	18.1	18.3
	"Arizona"	"04"	"1995"	"1995"	805	4433841	18.2	18.2
	"Arizona"	"04"	"1996"	"1996"	726	4589841	15.8	16.1
	"Arizona"	"04"	"1997"	"1997"	757	4739994	16.0	16.1
	"Arizona"	"04"	"1998"	"1998"	804	4886250	16.5	16.7
	"Arkansas"	"05"	"1979"	"1979"	249	2270804	11.0	11.5
	"Arkansas"	"05"	"1980"	"1980"	266	2288599	11.6	12.3
	"Arkansas"	"05"	"1981"	"1981"	261	2293696	11.4	11.7
	"Arkansas"	"05"	"1982"	"1982"	276	2294665	12.0	12.5
	"Arkansas"	"05"	"1983"	"1983"	277	2305943	12.0	11.9
	"Arkansas"	"05"	"1984"	"1984"	308	2320088	13.3	13.5
	"Arkansas"	"05"	"1985"	"1985"	316	2328082	13.6	13.5
	"Arkansas"	"05"	"1986"	"1986"	321	2332608	13.8	13.9
	"Arkansas"	"05"	"1987"	"1987"	342	2343274	14.6	14.7
	"Arkansas"	"05"	"1988"	"1988"	302	2344127	12.9	13.1
	"Arkansas"	"05"	"1989"	"1989"	246	2348699	10.5	10.5
	"Arkansas"	"05"	"1990"	"1990"	293	2352527	12.5	12.4
	"Arkansas"	"05"	"1991"	"1991"	283	2384138	11.9	11.9
	"Arkansas"	"05"	"1992"	"1992"	293	2416429	12.1	12.1
	"Arkansas"	"05"	"1993"	"1993"	317	2457014	12.9	12.8
	"Arkansas"	"05"	"1994"	"1994"	364	2494910	14.6	14.6
	"Arkansas"	"05"	"1995"	"1995"	360	2535835	14.2	14.3
	"Arkansas"	"05"	"1996"	"1996"	323	2573244	12.6	12.6
	"Arkansas"	"05"	"1997"	"1997"	356	2602253	13.7	13.8
	"Arkansas"	"05"	"1998"	"1998"	344	2627564	13.1	13.2
	"California"	"06"	"1979"	"1979"	3531	23304422	15.2	15.7
	"California"	"06"	"1980"	"1980"	3425	23729183	14.4	15.0
	"California"	"06"	"1981"	"1981"	3553	24344273	14.6	15.1
	"California"	"06"	"1982"	"1982"	3749	24870183	15.1	15.6
	"California"	"06"	"1983"	"1983"	3635	25398443	14.3	15.0
	"California"	"06"	"1984"	"1984"	3696	25881851	14.3	14.9
	"California"	"06"	"1985"	"1985"	3780	26488512	14.3	14.9
	"California"	"06"	"1986"	"1986"	3960	27149692	14.6	15.1
	"California"	"06"	"1987"	"1987"	3829	27834578	13.8	14.5
	"California"	"06"	"1988"	"1988"	3871	28538528	13.6	14.2
	"California"	"06"	"1989"	"1989"	3704	29309226	12.6	13.3
	"California"	"06"	"1990"	"1990"	3708	29829422	12.4	13.1
	"California"	"06"	"1991"	"1991"	3716	30482745	12.2	13.0
	"California"	"06"	"1992"	"1992"	3723	30992952	12.0	12.9
	"California"	"06"	"1993"	"1993"	3875	31296016	12.4	13.2
	"California"	"06"	"1994"	"1994"	3712	31505058	11.8	12.5
	"California"	"06"	"1995"	"1995"	3694	31719735	11.6	12.3
	"California"	"06"	"1996"	"1996"	3408	32046821	10.6	11.2
	"California"	"06"	"1997"	"1997"	3430	32514514	10.5	11.1
	"California"	"06"	"1998"	"1998"	3415	33021362	10.3	10.9
	"Colorado"	"08"	"1979"	"1979"	500	2854156	17.5	18.5
	"Colorado"	"08"	"1980"	"1980"	470	2896401	16.2	17.5
	"Colorado"	"08"	"1981"	"1981"	535	2983957	17.9	18.8
	"Colorado"	"08"	"1982"	"1982"	504	3068025	16.4	17.1
	"Colorado"	"08"	"1983"	"1983"	569	3137512	18.1	18.7
	"Colorado"	"08"	"1984"	"1984"	522	3172473	16.5	17.7
	"Colorado"	"08"	"1985"	"1985"	581	3211081	18.1	18.5
	"Colorado"	"08"	"1986"	"1986"	574	3239353	17.7	18.6
	"Colorado"	"08"	"1987"	"1987"	562	3261010	17.2	17.9
	"Colorado"	"08"	"1988"	"1988"	599	3263281	18.4	18.9
	"Colorado"	"08"	"1989"	"1989"	549	3276660	16.8	16.9
	"Colorado"	"08"	"1990"	"1990"	554	3295529	16.8	17.4
	"Colorado"	"08"	"1991"	"1991"	563	3387824	16.6	17.1
	"Colorado"	"08"	"1992"	"1992"	598	3496821	17.1	17.5
	"Colorado"	"08"	"1993"	"1993"	607	3614735	16.8	17.2
	"Colorado"	"08"	"1994"	"1994"	614	3725509	16.5	16.9
	"Colorado"	"08"	"1995"	"1995"	654	3827609	17.1	17.2
	"Colorado"	"08"	"1996"	"1996"	694	3921395	17.7	18.0
	"Colorado"	"08"	"1997"	"1997"	611	4018882	15.2	15.3
	"Colorado"	"08"	"1998"	"1998"	611	4118190	14.8	15.2
	"Connecticut"	"09"	"1979"	"1979"	268	3101686	8.6	8.8
	"Connecticut"	"09"	"1980"	"1980"	276	3109321	8.9	8.9
	"Connecticut"	"09"	"1981"	"1981"	299	3131032	9.5	9.4
	"Connecticut"	"09"	"1982"	"1982"	241	3141181	7.7	7.6
	"Connecticut"	"09"	"1983"	"1983"	262	3164200	8.3	8.1
	"Connecticut"	"09"	"1984"	"1984"	276	3182426	8.7	8.7
	"Connecticut"	"09"	"1985"	"1985"	284	3204314	8.9	8.7
	"Connecticut"	"09"	"1986"	"1986"	305	3226567	9.5	9.1
	"Connecticut"	"09"	"1987"	"1987"	299	3251130	9.2	8.8
	"Connecticut"	"09"	"1988"	"1988"	333	3275681	10.2	9.7
	"Connecticut"	"09"	"1989"	"1989"	303	3287127	9.2	9.0
	"Connecticut"	"09"	"1990"	"1990"	299	3287825	9.1	8.9
	"Connecticut"	"09"	"1991"	"1991"	330	3303749	10.0	9.7
	"Connecticut"	"09"	"1992"	"1992"	298	3301385	9.0	8.8
	"Connecticut"	"09"	"1993"	"1993"	302	3309945	9.1	9.0
	"Connecticut"	"09"	"1994"	"1994"	324	3316918	9.8	9.6
	"Connecticut"	"09"	"1995"	"1995"	323	3324324	9.7	9.6
	"Connecticut"	"09"	"1996"	"1996"	292	3337947	8.7	8.6
	"Connecticut"	"09"	"1997"	"1997"	259	3349822	7.7	7.5
	"Connecticut"	"09"	"1998"	"1998"	257	3366615	7.6	7.5
	"Delaware"	"10"	"1979"	"1979"	65	599476	10.8	11.3
	"Delaware"	"10"	"1980"	"1980"	71	595519	11.9	12.2
	"Delaware"	"10"	"1981"	"1981"	75	596658	12.6	12.1
	"Delaware"	"10"	"1982"	"1982"	76	599565	12.7	13.0
	"Delaware"	"10"	"1983"	"1983"	66	605660	10.9	10.6
	"Delaware"	"10"	"1984"	"1984"	71	611723	11.6	11.6
	"Delaware"	"10"	"1985"	"1985"	59	618730	9.5	9.9
	"Delaware"	"10"	"1986"	"1986"	84	628001	13.4	13.8
	"Delaware"	"10"	"1987"	"1987"	98	637508	15.4	15.4
	"Delaware"	"10"	"1988"	"1988"	87	648489	13.4	13.2
	"Delaware"	"10"	"1989"	"1989"	95	659194	14.4	14.9
	"Delaware"	"10"	"1990"	"1990"	80	666780	12.0	12.1
	"Delaware"	"10"	"1991"	"1991"	79	683489	11.6	11.3
	"Delaware"	"10"	"1992"	"1992"	88	695038	12.7	12.5
	"Delaware"	"10"	"1993"	"1993"	94	706719	13.3	13.1
	"Delaware"	"10"	"1994"	"1994"	80	717867	11.1	11.0
	"Delaware"	"10"	"1995"	"1995"	80	730099	11.0	10.8
	"Delaware"	"10"	"1996"	"1996"	97	741330	13.1	13.0
	"Delaware"	"10"	"1997"	"1997"	87	751824	11.6	11.6
	"Delaware"	"10"	"1998"	"1998"	68	763841	8.9	8.9
	"Florida"	"12"	"1979"	"1979"	1516	9480731	16.0	15.8
	"Florida"	"12"	"1980"	"1980"	1501	9764074	15.4	15.2
	"Florida"	"12"	"1981"	"1981"	1586	10208144	15.5	15.2
	"Florida"	"12"	"1982"	"1982"	1778	10487366	17.0	16.6
	"Florida"	"12"	"1983"	"1983"	1730	10764476	16.1	15.5
	"Florida"	"12"	"1984"	"1984"	1820	11055366	16.5	16.0
	"Florida"	"12"	"1985"	"1985"	1838	11368628	16.2	15.5
	"Florida"	"12"	"1986"	"1986"	1876	11682730	16.1	15.3
	"Florida"	"12"	"1987"	"1987"	2021	12014726	16.8	15.9
	"Florida"	"12"	"1988"	"1988"	2064	12326923	16.7	16.0
	"Florida"	"12"	"1989"	"1989"	2076	12660706	16.4	15.6
	"Florida"	"12"	"1990"	"1990"	2086	12952277	16.1	15.5
	"Florida"	"12"	"1991"	"1991"	2095	13371703	15.7	15.1
	"Florida"	"12"	"1992"	"1992"	2027	13654211	14.8	14.3
	"Florida"	"12"	"1993"	"1993"	2130	13932066	15.3	14.8
	"Florida"	"12"	"1994"	"1994"	2075	14244848	14.6	14.1
	"Florida"	"12"	"1995"	"1995"	2165	14544358	14.9	14.3
	"Florida"	"12"	"1996"	"1996"	2153	14860585	14.5	14.0
	"Florida"	"12"	"1997"	"1997"	2098	15194344	13.8	13.2
	"Florida"	"12"	"1998"	"1998"	2172	15496518	14.0	13.4
	"Georgia"	"13"	"1979"	"1979"	666	5397054	12.3	13.4
	"Georgia"	"13"	"1980"	"1980"	688	5472448	12.6	13.6
	"Georgia"	"13"	"1981"	"1981"	704	5572350	12.6	13.5
	"Georgia"	"13"	"1982"	"1982"	743	5652656	13.1	13.9
	"Georgia"	"13"	"1983"	"1983"	652	5729765	11.4	12.0
	"Georgia"	"13"	"1984"	"1984"	720	5837719	12.3	13.2
	"Georgia"	"13"	"1985"	"1985"	734	5968250	12.3	13.0
	"Georgia"	"13"	"1986"	"1986"	793	6090642	13.0	13.6
	"Georgia"	"13"	"1987"	"1987"	826	6216909	13.3	13.8
	"Georgia"	"13"	"1988"	"1988"	851	6325549	13.5	13.9
	"Georgia"	"13"	"1989"	"1989"	855	6421599	13.3	13.6
	"Georgia"	"13"	"1990"	"1990"	880	6483380	13.6	13.9
	"Georgia"	"13"	"1991"	"1991"	893	6655914	13.4	14.0
	"Georgia"	"13"	"1992"	"1992"	811	6820520	11.9	12.4
	"Georgia"	"13"	"1993"	"1993"	856	6981614	12.3	12.8
	"Georgia"	"13"	"1994"	"1994"	835	7161196	11.7	12.0
	"Georgia"	"13"	"1995"	"1995"	825	7333169	11.3	11.6
	"Georgia"	"13"	"1996"	"1996"	867	7506543	11.5	11.8
	"Georgia"	"13"	"1997"	"1997"	903	7691435	11.7	12.1
	"Georgia"	"13"	"1998"	"1998"	822	7870311	10.4	10.7
	"Hawaii"	"15"	"1979"	"1979"	131	952438	13.8	14.1
	"Hawaii"	"15"	"1980"	"1980"	110	967282	11.4	12.2
	"Hawaii"	"15"	"1981"	"1981"	85	980258	8.7	9.5
	"Hawaii"	"15"	"1982"	"1982"	97	995925	9.7	9.3
	"Hawaii"	"15"	"1983"	"1983"	94	1014687	9.3	10.0
	"Hawaii"	"15"	"1984"	"1984"	116	1029123	11.3	12.1
	"Hawaii"	"15"	"1985"	"1985"	94	1040309	9.0	8.7
	"Hawaii"	"15"	"1986"	"1986"	107	1052609	10.2	10.4
	"Hawaii"	"15"	"1987"	"1987"	111	1069296	10.4	11.1
	"Hawaii"	"15"	"1988"	"1988"	87	1081823	8.0	8.0
	"Hawaii"	"15"	"1989"	"1989"	109	1096941	9.9	10.0
	"Hawaii"	"15"	"1990"	"1990"	125	1109946	11.3	11.1
	"Hawaii"	"15"	"1991"	"1991"	107	1137471	9.4	9.6
	"Hawaii"	"15"	"1992"	"1992"	129	1159490	11.1	10.9
	"Hawaii"	"15"	"1993"	"1993"	120	1173765	10.2	10.1
	"Hawaii"	"15"	"1994"	"1994"	138	1188875	11.6	11.8
	"Hawaii"	"15"	"1995"	"1995"	142	1198027	11.9	11.9
	"Hawaii"	"15"	"1996"	"1996"	127	1205599	10.5	10.4
	"Hawaii"	"15"	"1997"	"1997"	138	1213103	11.4	11.5
	"Hawaii"	"15"	"1998"	"1998"	116	1217209	9.5	9.5
	"Idaho"	"16"	"1979"	"1979"	124	934621	13.3	14.7
	"Idaho"	"16"	"1980"	"1980"	124	945395	13.1	14.5
	"Idaho"	"16"	"1981"	"1981"	148	962481	15.4	16.9
	"Idaho"	"16"	"1982"	"1982"	138	973832	14.2	16.0
	"Idaho"	"16"	"1983"	"1983"	158	981166	16.1	17.8
	"Idaho"	"16"	"1984"	"1984"	154	989800	15.6	16.7
	"Idaho"	"16"	"1985"	"1985"	135	993122	13.6	14.7
	"Idaho"	"16"	"1986"	"1986"	177	988853	17.9	19.7
	"Idaho"	"16"	"1987"	"1987"	176	983879	17.9	18.9
	"Idaho"	"16"	"1988"	"1988"	179	984942	18.2	19.3
	"Idaho"	"16"	"1989"	"1989"	160	994027	16.1	17.1
	"Idaho"	"16"	"1990"	"1990"	192	1006693	19.1	19.8
	"Idaho"	"16"	"1991"	"1991"	165	1041649	15.8	16.6
	"Idaho"	"16"	"1992"	"1992"	168	1072047	15.7	16.4
	"Idaho"	"16"	"1993"	"1993"	189	1108881	17.0	17.7
	"Idaho"	"16"	"1994"	"1994"	201	1145272	17.6	18.4
	"Idaho"	"16"	"1995"	"1995"	186	1177589	15.8	16.6
	"Idaho"	"16"	"1996"	"1996"	177	1203432	14.7	15.4
	"Idaho"	"16"	"1997"	"1997"	209	1228543	17.0	17.6
	"Idaho"	"16"	"1998"	"1998"	201	1252682	16.0	16.6
	"Illinois"	"17"	"1979"	"1979"	1040	11440371	9.1	9.4
	"Illinois"	"17"	"1980"	"1980"	1067	11448136	9.3	9.5
	"Illinois"	"17"	"1981"	"1981"	1081	11455471	9.4	9.7
	"Illinois"	"17"	"1982"	"1982"	1085	11432454	9.5	9.8
	"Illinois"	"17"	"1983"	"1983"	1142	11411820	10.0	10.3
	"Illinois"	"17"	"1984"	"1984"	1207	11415352	10.6	10.8
	"Illinois"	"17"	"1985"	"1985"	1281	11405963	11.2	11.5
