"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	554	4430141	12.5	12.4
	"Alabama"	"01"	"2000"	"2000"	582	4447100	13.1	13.1
	"Alabama"	"01"	"2001"	"2001"	512	4467634	11.5	11.4
	"Alabama"	"01"	"2002"	"2002"	513	4480089	11.5	11.4
	"Alabama"	"01"	"2003"	"2003"	520	4503491	11.5	11.4
	"Alabama"	"01"	"2004"	"2004"	541	4530729	11.9	11.7
	"Alabama"	"01"	"2005"	"2005"	535	4569805	11.7	11.5
	"Alabama"	"01"	"2006"	"2006"	579	4628981	12.5	12.4
	"Alabama"	"01"	"2007"	"2007"	592	4672840	12.7	12.4
	"Alabama"	"01"	"2008"	"2008"	602	4718206	12.8	12.5
	"Alabama"	"01"	"2009"	"2009"	673	4757938	14.1	13.7
	"Alabama"	"01"	"2010"	"2010"	679	4779736	14.2	14.0
	"Alabama"	"01"	"2011"	"2011"	654	4799918	13.6	13.2
	"Alabama"	"01"	"2012"	"2012"	724	4815960	15.0	14.7
	"Alabama"	"01"	"2013"	"2013"	720	4829479	14.9	14.4
	"Alabama"	"01"	"2014"	"2014"	714	4843214	14.7	14.5
	"Alabama"	"01"	"2015"	"2015"	750	4853875	15.5	14.9
	"Alabama"	"01"	"2016"	"2016"	788	4863300	16.2	15.6
	"Alaska"	"02"	"1999"	"1999"	96	624779	15.4	16.8
	"Alaska"	"02"	"2000"	"2000"	137	626932	21.9	21.5
	"Alaska"	"02"	"2001"	"2001"	101	633714	15.9	15.8
	"Alaska"	"02"	"2002"	"2002"	132	642337	20.5	20.8
	"Alaska"	"02"	"2003"	"2003"	124	648414	19.1	20.3
	"Alaska"	"02"	"2004"	"2004"	155	659286	23.5	23.0
	"Alaska"	"02"	"2005"	"2005"	131	666946	19.6	19.9
	"Alaska"	"02"	"2006"	"2006"	135	675302	20.0	19.9
	"Alaska"	"02"	"2007"	"2007"	149	680300	21.9	22.5
	"Alaska"	"02"	"2008"	"2008"	169	687455	24.6	24.3
	"Alaska"	"02"	"2009"	"2009"	143	698895	20.5	20.0
	"Alaska"	"02"	"2010"	"2010"	164	710231	23.1	22.8
	"Alaska"	"02"	"2011"	"2011"	143	722713	19.8	20.0
	"Alaska"	"02"	"2012"	"2012"	168	731089	23.0	23.1
	"Alaska"	"02"	"2013"	"2013"	170	736879	23.1	23.0
	"Alaska"	"02"	"2014"	"2014"	167	736705	22.7	22.1
	"Alaska"	"02"	"2015"	"2015"	201	737709	27.2	26.9
	"Alaska"	"02"	"2016"	"2016"	193	741894	26.0	25.8
	"Arizona"	"04"	"1999"	"1999"	766	5023823	15.2	15.5
	"Arizona"	"04"	"2000"	"2000"	783	5130632	15.3	15.6
	"Arizona"	"04"	"2001"	"2001"	762	5273477	14.4	14.7
	"Arizona"	"04"	"2002"	"2002"	884	5396255	16.4	16.6
	"Arizona"	"04"	"2003"	"2003"	840	5510364	15.2	15.5
	"Arizona"	"04"	"2004"	"2004"	879	5652404	15.6	15.8
	"Arizona"	"04"	"2005"	"2005"	944	5839077	16.2	16.3
	"Arizona"	"04"	"2006"	"2006"	976	6029141	16.2	16.3
	"Arizona"	"04"	"2007"	"2007"	1015	6167681	16.5	16.5
	"Arizona"	"04"	"2008"	"2008"	972	6280362	15.5	15.5
	"Arizona"	"04"	"2009"	"2009"	1058	6343154	16.7	16.7
	"Arizona"	"04"	"2010"	"2010"	1092	6392017	17.1	17.0
	"Arizona"	"04"	"2011"	"2011"	1160	6467163	17.9	17.8
	"Arizona"	"04"	"2012"	"2012"	1151	6549634	17.6	17.2
	"Arizona"	"04"	"2013"	"2013"	1162	6624617	17.5	17.5
	"Arizona"	"04"	"2014"	"2014"	1241	6719993	18.5	18.0
	"Arizona"	"04"	"2015"	"2015"	1276	6817565	18.7	18.2
	"Arizona"	"04"	"2016"	"2016"	1269	6931071	18.3	17.6
	"Arkansas"	"05"	"1999"	"1999"	336	2651860	12.7	12.6
	"Arkansas"	"05"	"2000"	"2000"	349	2673400	13.1	13.0
	"Arkansas"	"05"	"2001"	"2001"	382	2691571	14.2	14.2
