"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	435	4430141	9.8	9.7
	"Alabama"	"01"	"2000"	"2000"	427	4447100	9.6	9.6
	"Alabama"	"01"	"2001"	"2001"	387	4467634	8.7	8.6
	"Alabama"	"01"	"2002"	"2002"	381	4480089	8.5	8.4
	"Alabama"	"01"	"2003"	"2003"	399	4503491	8.9	8.7
	"Alabama"	"01"	"2004"	"2004"	375	4530729	8.3	8.0
	"Alabama"	"01"	"2005"	"2005"	369	4569805	8.1	7.8
	"Alabama"	"01"	"2006"	"2006"	400	4628981	8.6	8.4
	"Alabama"	"01"	"2007"	"2007"	396	4672840	8.5	8.2
	"Alabama"	"01"	"2008"	"2008"	424	4718206	9.0	8.7
	"Alabama"	"01"	"2009"	"2009"	479	4757938	10.1	9.6
	"Alabama"	"01"	"2010"	"2010"	454	4779736	9.5	9.2
	"Alabama"	"01"	"2011"	"2011"	452	4799918	9.4	9.0
	"Alabama"	"01"	"2012"	"2012"	500	4815960	10.4	10.0
	"Alabama"	"01"	"2013"	"2013"	504	4829479	10.4	9.9
	"Alabama"	"01"	"2014"	"2014"	479	4843214	9.9	9.6
	"Alabama"	"01"	"2015"	"2015"	528	4853875	10.9	10.4
	"Alabama"	"01"	"2016"	"2016"	550	4863300	11.3	10.7
	"Alaska"	"02"	"1999"	"1999"	55	624779	8.8	10.4
	"Alaska"	"02"	"2000"	"2000"	96	626932	15.3	15.0
	"Alaska"	"02"	"2001"	"2001"	65	633714	10.3	10.3
	"Alaska"	"02"	"2002"	"2002"	92	642337	14.3	14.7
	"Alaska"	"02"	"2003"	"2003"	79	648414	12.2	13.3
	"Alaska"	"02"	"2004"	"2004"	94	659286	14.3	14.1
	"Alaska"	"02"	"2005"	"2005"	87	666946	13.0	13.4
	"Alaska"	"02"	"2006"	"2006"	79	675302	11.7	12.2
	"Alaska"	"02"	"2007"	"2007"	94	680300	13.8	14.5
	"Alaska"	"02"	"2008"	"2008"	116	687455	16.9	17.2
	"Alaska"	"02"	"2009"	"2009"	79	698895	11.3	11.2
	"Alaska"	"02"	"2010"	"2010"	107	710231	15.1	15.3
	"Alaska"	"02"	"2011"	"2011"	99	722713	13.7	14.0
	"Alaska"	"02"	"2012"	"2012"	98	731089	13.4	13.4
	"Alaska"	"02"	"2013"	"2013"	120	736879	16.3	16.7
	"Alaska"	"02"	"2014"	"2014"	115	736705	15.6	15.4
	"Alaska"	"02"	"2015"	"2015"	123	737709	16.7	16.5
	"Alaska"	"02"	"2016"	"2016"	113	741894	15.2	14.8
	"Arizona"	"04"	"1999"	"1999"	476	5023823	9.5	9.6
	"Arizona"	"04"	"2000"	"2000"	489	5130632	9.5	9.7
	"Arizona"	"04"	"2001"	"2001"	468	5273477	8.9	9.0
	"Arizona"	"04"	"2002"	"2002"	559	5396255	10.4	10.5
	"Arizona"	"04"	"2003"	"2003"	486	5510364	8.8	8.9
	"Arizona"	"04"	"2004"	"2004"	509	5652404	9.0	9.1
	"Arizona"	"04"	"2005"	"2005"	514	5839077	8.8	8.9
	"Arizona"	"04"	"2006"	"2006"	563	6029141	9.3	9.3
	"Arizona"	"04"	"2007"	"2007"	552	6167681	8.9	9.0
	"Arizona"	"04"	"2008"	"2008"	540	6280362	8.6	8.5
	"Arizona"	"04"	"2009"	"2009"	605	6343154	9.5	9.4
	"Arizona"	"04"	"2010"	"2010"	620	6392017	9.7	9.6
	"Arizona"	"04"	"2011"	"2011"	674	6467163	10.4	10.1
	"Arizona"	"04"	"2012"	"2012"	663	6549634	10.1	9.7
	"Arizona"	"04"	"2013"	"2013"	655	6624617	9.9	9.7
	"Arizona"	"04"	"2014"	"2014"	683	6719993	10.2	9.7
	"Arizona"	"04"	"2015"	"2015"	707	6817565	10.4	9.8
	"Arizona"	"04"	"2016"	"2016"	755	6931071	10.9	10.2
	"Arkansas"	"05"	"1999"	"1999"	234	2651860	8.8	8.7
	"Arkansas"	"05"	"2000"	"2000"	244	2673400	9.1	9.0
	"Arkansas"	"05"	"2001"	"2001"	274	2691571	10.2	10.1
	"Arkansas"	"05"	"2002"	"2002"	257	2705927	9.5	9.4
	"Arkansas"	"05"	"2003"	"2003"	258	2724816	9.5	9.3
	"Arkansas"	"05"	"2004"	"2004"	232	2749686	8.4	8.3
	"Arkansas"	"05"	"2005"	"2005"	262	2781097	9.4	9.3
	"Arkansas"	"05"	"2006"	"2006"	247	2821761	8.8	8.7
	"Arkansas"	"05"	"2007"	"2007"	244	2848650	8.6	8.5
	"Arkansas"	"05"	"2008"	"2008"	275	2874554	9.6	9.4
	"Arkansas"	"05"	"2009"	"2009"	285	2896843	9.8	9.7
	"Arkansas"	"05"	"2010"	"2010"	266	2915918	9.1	9.0
	"Arkansas"	"05"	"2011"	"2011"	299	2939493	10.2	10.2
